Feature,Prevalence,Coefficient (CD),Coefficient (UC),t Statistic (CD),t Statistic (UC),P Value (CD),P Value (UC),Q Value (CD),Q Value (UC),Minimum Q Value
Collinsella aerofaciens,0.523510972,0.000413122,0.014471156,0.075640397,2.450947358,0.939835494,0.015740026,0.973401047,0.286482651,0.286482651
Alistipes putredinis,0.589341693,-0.032575418,-0.077672151,-1.215300503,-2.663349533,0.226719233,0.008836697,0.636276556,0.286482651,0.286482651
Alistipes shahii,0.47460815,-0.018461233,-0.028988464,-1.723256073,-2.487756286,0.087506741,0.014276237,0.475817907,0.286482651,0.286482651
Oscillibacter unclassified,0.812539185,0.007127016,0.025545181,0.750991071,2.489637562,0.45417882,0.014204802,0.731732544,0.286482651,0.286482651
Coprobacillus unclassified,0.260188088,0.004746781,0.006667155,1.817903571,2.363673367,0.071659575,0.019757424,0.445313072,0.286482651,0.286482651
Akkermansia muciniphila,0.362382445,-0.034058059,-0.041668759,-2.106772922,-2.381113541,0.037292402,0.018888753,0.432072375,0.286482651,0.286482651
Clostridium bolteae,0.713479624,0.030987395,0.004859312,2.756990778,0.397842898,0.006778136,0.6914772,0.294848937,0.996551801,0.294848937
Clostridium clostridioforme,0.32476489,0.021845741,0.004300583,2.769982068,0.50235395,0.006529931,0.616370873,0.294848937,0.996551801,0.294848937
Bacteroidales bacterium ph8,0.295924765,-0.007393801,-0.015335777,-1.076160896,-2.061176507,0.28408843,0.041521418,0.668832366,0.381698956,0.381698956
Alistipes finegoldii,0.494043887,-0.009899728,-0.021956576,-0.960186488,-1.957856255,0.338958506,0.052648132,0.69581499,0.381698956,0.381698956
Ruminococcus obeum,0.843887147,0.001973812,0.00959757,0.461538095,2.071234833,0.645276919,0.040554715,0.790691437,0.381698956,0.381698956
Ruminococcus bromii,0.321003135,-0.02817859,-0.02898757,-2.292986343,-2.16917646,0.023650556,0.032109753,0.425605644,0.381698956,0.381698956
Sutterella wadsworthensis,0.270846395,-0.030338839,-0.029411333,-2.198335192,-1.959947587,0.029910529,0.052400054,0.432072375,0.381698956,0.381698956
Escherichia unclassified,0.399373041,0.001283046,0.004702882,0.57407505,1.961356691,0.567028517,0.052233463,0.78303938,0.381698956,0.381698956
Bilophila unclassified,0.554858934,-0.007498148,-0.013654375,-1.144591206,-1.921877135,0.254734759,0.05707418,0.668832366,0.381957974,0.381957974
Bacteroides ovatus,0.826959248,0.021456613,0.046882868,0.838193435,1.691378884,0.403645882,0.093449417,0.69581499,0.423061895,0.423061895
Barnesiella intestinihominis,0.303448276,-0.021283172,-0.03125174,-1.225435615,-1.664505376,0.22289341,0.098710439,0.636276556,0.423061895,0.423061895
Odoribacter splanchnicus,0.415047022,0.003761193,-0.019573571,0.349760356,-1.673844973,0.727152758,0.096855504,0.843497199,0.423061895,0.423061895
Alistipes onderdonkii,0.561755486,-0.016607138,-0.029252749,-1.017226517,-1.648182067,0.311162626,0.102021311,0.676778712,0.423061895,0.423061895
Streptococcus salivarius,0.364890282,0.001890202,0.005424142,0.628654479,1.668819389,0.530811212,0.097850094,0.779314008,0.423061895,0.423061895
Clostridium leptum,0.509090909,-0.011511237,-0.010329703,-1.970818007,-1.632979161,0.051126478,0.10518491,0.432072375,0.423061895,0.423061895
Eubacterium eligens,0.636363636,-0.003198001,0.018580608,-0.313935777,1.685015735,0.75413368,0.094674077,0.852073119,0.423061895,0.423061895
Ruminococcus callidus,0.202507837,-0.009399081,-0.007246334,-2.279589142,-1.624510109,0.024460094,0.106981169,0.425605644,0.423061895,0.423061895
Subdoligranulum unclassified,0.969278997,-0.031746058,-0.031980436,-1.82626446,-1.699948754,0.070382168,0.091820428,0.445313072,0.423061895,0.423061895
Parabacteroides goldsteinii,0.117241379,-0.011929634,-0.00745243,-2.346119984,-1.352680688,0.020667229,0.178788469,0.425605644,0.561547803,0.425605644
Bifidobacterium adolescentis,0.347962382,-0.018125938,0.004091809,-2.045775822,0.42516431,0.043039849,0.671504564,0.432072375,0.996551801,0.432072375
Bacteroides fragilis,0.55862069,0.059329556,0.045899277,2.002493907,1.425090977,0.047564102,0.156815996,0.432072375,0.554493085,0.432072375
Ruminococcus lactaris,0.284639498,-0.012482524,-0.004227196,-1.941443013,-0.605848334,0.05462984,0.545799112,0.432072375,0.989260891,0.432072375
Eubacterium siraeum,0.411285266,-0.026679202,-0.029219112,-1.572145394,-1.584599225,0.118640503,0.115779923,0.485448702,0.437950143,0.437950143
Ruminococcus gnavus,0.60815047,0.018160003,0.001666851,1.857635244,0.157299853,0.065756795,0.875282007,0.445313072,0.996551801,0.445313072
Parabacteroides unclassified,0.457680251,0.030703334,0.026195879,1.754755082,1.377358887,0.081941572,0.171053186,0.475261115,0.561547803,0.475261115
Clostridium citroniae,0.289655172,0.004456015,0.000296918,1.660386856,0.102096698,0.099537494,0.918856199,0.47988654,0.996551801,0.47988654
Eubacterium ventriosum,0.393103448,-0.010361353,-0.002172632,-1.63479568,-0.315785024,0.104802808,0.752733141,0.47988654,0.996551801,0.47988654
Escherichia coli,0.611285266,0.03398698,0.014349118,1.648126338,0.641527847,0.102032766,0.522445395,0.47988654,0.979693774,0.47988654
C2likevirus unclassified,0.243887147,-0.005970578,-0.00199836,-1.605985522,-0.50206792,0.110996,0.616571428,0.482832598,0.996551801,0.482832598
Eubacterium rectale,0.826332288,-0.03227758,-0.022456334,-1.554635106,-0.998503864,0.122757143,0.320113432,0.485448702,0.870308394,0.485448702
Bacteroides uniformis,0.872100313,0.052120781,0.024152229,1.495272146,0.637253144,0.137559012,0.525215702,0.507051042,0.979693774,0.507051042
Roseburia inulinivorans,0.673354232,-0.01185345,0.000382933,-1.486438421,0.044405358,0.13987615,0.964657641,0.507051042,0.996551801,0.507051042
Parabacteroides distasonis,0.586206897,0.024587696,0.013251741,1.397231118,0.692782607,0.165010996,0.489830633,0.55215218,0.979693774,0.55215218
Roseburia hominis,0.665203762,-0.010627801,-0.005531834,-1.416778726,-0.680446443,0.159227658,0.497577708,0.55215218,0.979693774,0.55215218
Dorea longicatena,0.66645768,-0.002472313,0.011506934,-0.329321011,1.416403833,0.742506938,0.159337093,0.849975048,0.554493085,0.554493085
Bacteroides cellulosilyticus,0.329780564,-0.011659485,-0.028098062,-0.604917141,-1.346619553,0.546415569,0.180728028,0.779314008,0.561547803,0.561547803
Bacteroides stercoris,0.66645768,-0.058682044,-0.00129275,-1.33942137,-0.027254223,0.183051952,0.9783038,0.579565701,0.996551801,0.579565701
Faecalibacterium prausnitzii,0.961755486,-0.035071538,0.001595521,-1.328784875,0.055880467,0.186526892,0.955533167,0.579565701,0.996551801,0.579565701
Veillonella parvula,0.534796238,0.017088785,-0.002934958,1.218828589,-0.192455867,0.225382096,0.847721661,0.636276556,0.996551801,0.636276556
Bacteroides finegoldii,0.250783699,-0.017155916,0.000243217,-1.132881441,0.014751897,0.259600199,0.988255459,0.668832366,0.996551801,0.668832366
Bacteroides xylanisolvens,0.672100313,0.01280305,-0.006505842,1.088440138,-0.508712479,0.27865706,0.611919967,0.668832366,0.996551801,0.668832366
Coprobacter fastidiosus,0.110971787,0.004129893,0.000359838,1.058264396,0.084988481,0.292133677,0.932417057,0.668832366,0.996551801,0.668832366
Clostridium symbiosum,0.502194357,0.006269965,0.005089261,1.068668701,0.799994492,0.287437819,0.42534925,0.668832366,0.947027838,0.668832366
Acidaminococcus unclassified,0.121630094,0.015675355,0.0124412,1.072239709,0.782671183,0.285838046,0.435415098,0.668832366,0.947027838,0.668832366
Veillonella atypica,0.328526646,0.006129506,0.002458687,1.030640205,0.380035298,0.304853698,0.704614144,0.676778712,0.996551801,0.676778712
Bifidobacterium bifidum,0.26645768,-0.003835812,0.002275631,-0.840743254,0.461197167,0.402221469,0.645520751,0.69581499,0.996551801,0.69581499
Bacteroides dorei,0.657053292,0.026665713,0.002275818,0.830625528,0.065131237,0.407891546,0.948181622,0.69581499,0.996551801,0.69581499
Bacteroides eggerthii,0.193730408,-0.022512453,-0.006295122,-0.915800394,-0.235237501,0.3616715,0.814439174,0.69581499,0.996551801,0.69581499
Parabacteroides merdae,0.571159875,-0.019650804,0.00535684,-0.918414282,0.23177352,0.360307729,0.817122295,0.69581499,0.996551801,0.69581499
Flavonifractor plautii,0.669592476,0.003993149,0.004176668,0.862724295,0.832217479,0.390069203,0.406996215,0.69581499,0.931807125,0.69581499
Ruminococcus torques,0.949216301,0.00650719,-3.4269E-05,0.888978615,-0.004331015,0.375854357,0.996551801,0.69581499,0.996551801,0.69581499
Lachnospiraceae bacterium 3 1 46FAA,0.621943574,-0.005355829,-0.006093708,-0.845634147,-0.885182642,0.399497815,0.377889337,0.69581499,0.911260102,0.69581499
Peptostreptococcaceae noname unclassified,0.265203762,-0.001651733,2.39583E-05,-0.897849123,0.012217679,0.371125758,0.990272933,0.69581499,0.996551801,0.69581499
Klebsiella pneumoniae,0.107210031,0.004914,0.000656802,0.867071248,0.107817547,0.38769303,0.914326688,0.69581499,0.996551801,0.69581499
Eubacterium sp 3 1 31,0.136050157,-0.002718941,-0.00377097,-0.783408397,-1.000928539,0.434983917,0.318944739,0.727761554,0.870308394,0.727761554
Veillonella dispar,0.310344828,-0.002348045,-0.000805529,-0.768248445,-0.243937734,0.443900765,0.807709957,0.728667293,0.996551801,0.728667293
Bacteroides massiliensis,0.361755486,-0.020686278,-0.014072628,-0.71973468,-0.449756424,0.473135997,0.65372539,0.748415123,0.996551801,0.748415123
Dialister invisus,0.487147335,0.011294455,-0.007654278,0.703391444,-0.438779782,0.483221253,0.661637273,0.750718732,0.996551801,0.750718732
Bacteroides faecis,0.378683386,0.008299949,-0.000567041,0.606239179,-0.038375493,0.545540474,0.969454267,0.779314008,0.996551801,0.779314008
Paraprevotella unclassified,0.152351097,-0.006642915,-0.001482325,-0.650181378,-0.133366699,0.516860675,0.894134472,0.779314008,0.996551801,0.779314008
Eubacterium hallii,0.578683386,-0.00278307,0.003263733,-0.640343691,0.694304392,0.523212049,0.488879533,0.779314008,0.979693774,0.779314008
Prevotella copri,0.27523511,-0.030949158,-0.002337612,-0.585927666,-0.040653779,0.559062433,0.967641799,0.78303938,0.996551801,0.78303938
Bifidobacterium pseudocatenulatum,0.144200627,-0.001397062,-0.001924242,-0.506594324,-0.646166364,0.613401054,0.519447939,0.790691437,0.979693774,0.790691437
Bacteroides caccae,0.672100313,-0.011679261,-0.01167052,-0.48655058,-0.447069016,0.627494854,0.655658857,0.790691437,0.996551801,0.790691437
Bacteroides salyersiae,0.104702194,-0.003453133,0.001088375,-0.465513459,0.13480867,0.642436604,0.892996785,0.790691437,0.996551801,0.790691437
Paraprevotella clara,0.119749216,-0.003312952,-0.000715951,-0.477112808,-0.095012404,0.634179452,0.924468908,0.790691437,0.996551801,0.790691437
Clostridium nexile,0.171159875,0.002379832,0.000464249,0.47314643,0.085307724,0.636997853,0.932163814,0.790691437,0.996551801,0.790691437
Burkholderiales bacterium 1 1 47,0.45830721,-0.003015884,0.00642305,-0.548761051,1.081359921,0.584224137,0.281779992,0.790691437,0.817161976,0.790691437
Parasutterella excrementihominis,0.475862069,0.002409614,0.002946436,0.490961484,0.552475094,0.624381236,0.581685883,0.790691437,0.996551801,0.790691437
Coprococcus comes,0.531661442,0.00144411,0.006024897,0.283123826,1.092395902,0.777586553,0.276922681,0.867308079,0.817161976,0.817161976
Alistipes unclassified,0.140438871,-0.004093819,-0.00960058,-0.412790521,-0.892774845,0.680522072,0.373826107,0.822297503,0.911260102,0.822297503
Haemophilus parainfluenzae,0.556112853,-0.002820727,0.004926143,-0.390037747,0.631033757,0.69722389,0.529259855,0.830938061,0.979693774,0.830938061
Roseburia unclassified,0.321630094,0.001540677,-0.003987117,0.374327136,-0.899345015,0.708844336,0.370332044,0.833371043,0.911260102,0.833371043
Bifidobacterium longum,0.628213166,-0.002118257,0.002968778,-0.258338359,0.333606999,0.796603589,0.739278423,0.877272307,0.996551801,0.877272307
Bacteroides vulgatus,0.912225705,-0.003924313,0.039367071,-0.104631036,0.964512298,0.916849286,0.33679559,0.971558382,0.887915648,0.887915648
Lachnospiraceae bacterium 1 1 57FAA,0.297805643,0.001281736,-0.003368477,0.218775307,-0.529772619,0.827209535,0.597282106,0.888484315,0.996551801,0.888484315
Roseburia intestinalis,0.627586207,-0.005218697,0.022184132,-0.220613703,0.867338197,0.825781055,0.3875474,0.888484315,0.911260102,0.888484315
Clostridium hathewayi,0.47460815,0.000569034,0.000213597,0.091959258,0.031889754,0.926889031,0.974614775,0.971558382,0.996551801,0.971558382
Bacteroides thetaiotaomicron,0.702821317,0.000682184,-0.001051557,0.032996544,-0.046748159,0.973734053,0.962794334,0.985606009,0.996551801,0.985606009
Veillonella unclassified,0.623824451,-0.000322902,0.001499333,-0.032313969,0.138638221,0.974277204,0.889976431,0.985606009,0.996551801,0.985606009
Bacteroides intestinalis,0.121003135,-8.11232E-05,-0.00159748,-0.017504699,-0.316942453,0.986064056,0.751856973,0.986064056,0.996551801,0.986064056